Plot	Pollinator	Pollinator_group	Pollinator_group_2	Functional_group_Rocka	Species	Abundance
9	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	CSA	2
15	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	CSA	9
32	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	CSA	1
33	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	CSA	2
38	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	CSA	1
5	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	ROF	2
9	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	ROF	2
15	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	ROF	12
20	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	ROF	4
21	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	ROF	8
30	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	ROF	1
34	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	TVUF	1
9	Lobonyx_aeneus	Coleoptera	Coleoptera	Beetles	TVUH	1
14	Malthinus	Coleoptera	Coleoptera	Beetles	EFL	2
17	Malthinus	Coleoptera	Coleoptera	Beetles	EFL	2
7	Malthinus	Coleoptera	Coleoptera	Beetles	ROF	2
17	Malthinus	Coleoptera	Coleoptera	Beetles	ROF	1
9	Meligethes_2	Coleoptera	Coleoptera	Beetles	ROF	1
35	Meligethes_aeneus	Coleoptera	Coleoptera	Beetles	EFL	1
28	Meligethes_aeneus	Coleoptera	Coleoptera	Beetles	TVUF	1
35	Meligethes_aeneus	Coleoptera	Coleoptera	Beetles	TVUF	2
40	Meligethes_aeneus	Coleoptera	Coleoptera	Beetles	TVUH	2
