Parcela	X	Y	Nom_definitiu	Solitary	Separing_honeybees	Group	Functional_group_Rocka	Familia	Nom_planta	Codi_planta	Plant	Frequencia
6	1.86	41.29	Lasioglossum_mediterraneum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
34	1.84	41.28	Lasioglossum_mediterraneum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
36	1.84	41.27	Lasioglossum_mediterraneum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	9
9	1.90	41.32	Lasioglossum_soror	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
9	1.90	41.32	Lasioglossum_soror	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
2	1.91	41.30	Lasioglossum_subhirtum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	3
3	1.90	41.28	Lasioglossum_subhirtum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Lasioglossum_subhirtum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
19	1.92	41.31	Lasioglossum_subhirtum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	3
19	1.92	41.31	Lasioglossum_subhirtum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	2
38	1.88	41.27	Lasioglossum_subhirtum	Solitary	Bee	Small_bee	Short-tongued_small_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	2
3	1.90	41.28	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	5
4	1.88	41.28	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	2
5	1.87	41.28	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	3
8	1.87	41.30	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
9	1.90	41.32	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	2
10	1.91	41.28	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	2
12	1.92	41.29	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	3
14	1.93	41.31	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	5
18	1.90	41.31	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	2
19	1.92	41.31	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
20	1.91	41.31	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
21	1.88	41.30	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
24	1.92	41.31	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	3
28	1.93	41.29	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
31	1.85	41.30	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
38	1.88	41.27	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
4	1.88	41.28	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
5	1.87	41.28	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	4
8	1.87	41.30	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	1
9	1.90	41.32	Lasioglossum_transitorium_planulum	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Halictidae	Thymus_vulgaris_Female	TVUF	TVU	2
8	1.87	41.30	Nomada_1	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Apidae	Thymus_vulgaris_Female	TVUF	TVU	1
5	1.87	41.28	Nomada_sheppardana	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Apidae	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	1
3	1.90	41.28	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	1
5	1.87	41.28	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	1
6	1.86	41.29	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	2
8	1.87	41.30	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	2
17	1.92	41.31	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	1
18	1.90	41.31	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	2
21	1.88	41.30	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	1
24	1.92	41.31	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	1
32	1.87	41.28	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	1
33	1.85	41.28	Andrena_angustior_impressa	Solitary	Bee	Small_bee	Short-tongued_medium-sized_bees	Andrenidae	Rosmarinus_officinalis	ROF	ROF	2
