Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	eficient	Nom_planta	Codi_planta	Plant	Frequencia
21	1.88	41.3	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Helianthemum_oelandicum	HOE	HOE	1
18	1.9	41.31	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	4
29	1.91	41.3	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
33	1.85	41.28	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	2
4	1.88	41.28	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
6	1.86	41.29	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	2
9	1.9	41.32	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
20	1.91	41.31	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
18	1.9	41.31	Hylaeus_sp_1	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
24	1.92	41.31	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	eficient	Helianthemum_oelandicum	HOE	HOE	1
21	1.88	41.3	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
22	1.94	41.31	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
8	1.87	41.3	Lasioglossum_ibericum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
16	1.89	41.3	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Orobanche_latisquama	OLA	OLA	1
3	1.9	41.28	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
16	1.89	41.3	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
30	1.9	41.3	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
37	1.86	41.27	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
39	1.88	41.26	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Cistus_salviifolius	CSA	CSA	2
14	1.93	41.31	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
36	1.84	41.27	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
36	1.84	41.27	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
37	1.86	41.27	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
