Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	Nom_planta	Codi_planta	Plant	Frequencia
37	1.86	41.27	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
39	1.88	41.26	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Cistus_salviifolius	CSA	CSA	2
14	1.93	41.31	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
36	1.84	41.27	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
36	1.84	41.27	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
37	1.86	41.27	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
33	1.85	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Cistus_salviifolius	CSA	CSA	2
18	1.90	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Fumana	FLA	FLA	1
20	1.91	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Helianthemum_oelandicum	HOE	HOE	1
35	1.83	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Helianthemum_oelandicum	HOE	HOE	1
12	1.92	41.29	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
13	1.88	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
14	1.93	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
23	1.88	41.29	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
24	1.92	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
28	1.93	41.29	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
31	1.85	41.30	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	2
32	1.87	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
